input1;input2;target
6677;9547;16224
3929;7482;11411
5355;8548;13903
2918;4174;7092
8436;1994;10430
7723;6521;14244
3008;7522;10530
3616;3000;6616
6173;7693;13866
5682;3809;9491
5124;7264;12388
2828;6112;8940
3996;4779;8775
9105;3067;12172
8293;9827;18120
2989;6784;9773
190;9753;9943
2927;8798;11725
3072;4484;7556
8907;1680;10587
2022;1110;3132
1245;5913;7158
3650;2482;6132
5262;3268;8530
298;1507;1805
5534;9547;15081
5618;8096;13714
7615;9844;17459
1402;3382;4784
3805;7681;11486
3781;4438;8219
1590;2579;4169
7979;4871;12850
5795;4983;10778
1507;1393;2900
4625;146;4771
1246;854;2100
8196;621;8817
4347;9378;13725
160;3937;4097
9511;8398;17909
1555;563;2118
6371;3918;10289
1283;8626;9909
739;6206;6945
7117;5566;12683
989;9160;10149
4402;381;4783
1020;7436;8456
3889;3299;7188
854;4513;5367
1551;8643;10194
8089;6890;14979
6732;2592;9324
2884;3833;6717
6312;7797;14109
5891;8308;14199
1786;9160;10946
3311;822;4133
2754;1856;4610
1186;7111;8297
7914;614;8528
88;4139;4227
1454;3711;5165
7967;129;8096
2758;5829;8587
3955;9549;13504
1142;5627;6769
3745;5113;8858
2882;8945;11827
9309;7430;16739
4260;7993;12253
9942;8942;18884
4625;7240;11865
740;3584;4324
7222;752;7974
153;2749;2902
1600;4574;6174
5430;9491;14921
5950;145;6095
9639;3201;12840
8245;6874;15119
7763;3605;11368
2262;2232;4494
1575;6103;7678
5655;6534;12189
4064;5013;9077
4366;9433;13799
8889;3982;12871
1655;1167;2822
1868;2105;3973
5923;3318;9241
6211;2431;8642
737;624;1361
5527;4871;10398
5017;6934;11951
8841;3236;12077
9737;6179;15916
9434;4358;13792
737;5450;6187
9623;5606;15229
9717;7329;17046
691;567;1258
9773;9429;19202
5799;8816;14615
838;4494;5332
2363;9436;11799
9174;4431;13605
7696;4560;12256
1879;2739;4618
2496;4638;7134
711;5589;6300
9088;7732;16820
6225;225;6450
5746;6320;12066
9444;5323;14767
2107;2078;4185
8289;8541;16830
1505;5977;7482
178;1996;2174
5545;895;6440
7415;5715;13130
7078;307;7385
9664;5638;15302
712;3943;4655
6919;7854;14773
5867;1133;7000
524;9577;10101
7847;3256;11103
9993;638;10631
8875;9310;18185
5835;8476;14311
6958;9602;16560
1220;1708;2928
9034;2543;11577
8089;7702;15791
8127;177;8304
2026;6040;8066
9716;5209;14925
3434;7116;10550
2672;4241;6913
2202;6152;8354
1799;3586;5385
5742;6141;11883
4313;1491;5804
299;8524;8823
3520;2374;5894
7833;6848;14681
8558;4926;13484
4376;6565;10941
2737;9603;12340
1943;1290;3233
6637;1811;8448
2786;5930;8716
3610;1564;5174
4457;3117;7574
3207;7575;10782
7510;3261;10771
4346;1170;5516
5565;1290;6855
3972;6547;10519
9406;8675;18081
6753;6659;13412
1766;3578;5344
3650;9678;13328
1784;3750;5534
6491;7914;14405
3488;8106;11594
4118;3915;8033
8936;6684;15620
5575;2645;8220
3858;4698;8556
4534;4809;9343
6731;4288;11019
6155;3343;9498
6429;1377;7806
8822;5936;14758
6746;166;6912
2376;9170;11546
6282;6746;13028
6888;9334;16222
4004;2348;6352
8764;5609;14373
1827;3793;5620
1310;9184;10494
5258;58;5316
6085;940;7025
3465;2053;5518
6205;9594;15799
4916;4838;9754
8914;6460;15374
6375;9999;16374
2895;7427;10322
7948;9591;17539
1245;2923;4168
4210;2861;7071
72;5995;6067
1406;4879;6285
4934;3953;8887
2412;991;3403
6303;3549;9852
2716;4449;7165
5616;3563;9179
6360;3881;10241
9973;5033;15006
2260;6025;8285
8180;4541;12721
1862;8271;10133
1761;7390;9151
4201;4080;8281
5862;4706;10568
1230;2721;3951
7684;1170;8854
480;1507;1987
9511;2560;12071
2919;8042;10961
1245;5687;6932
6714;8760;15474
1738;5465;7203
6138;2467;8605
6897;1020;7917
7452;9156;16608
7657;6712;14369
6202;5042;11244
4674;3482;8156
4566;9095;13661
6311;9606;15917
2724;3027;5751
2546;798;3344
8693;1165;9858
7942;6853;14795
9938;7291;17229
9204;3616;12820
8742;5769;14511
9677;6512;16189
5829;7571;13400
2057;7076;9133
9939;7679;17618
4606;4671;9277
6013;8101;14114
4564;512;5076
5262;1415;6677
328;7283;7611
3891;6414;10305
6692;3095;9787
6237;1812;8049
4374;4621;8995
7015;4460;11475
407;7457;7864
7811;295;8106
620;4544;5164
9881;7671;17552
8262;7311;15573
265;4229;4494
7311;9950;17261
3075;5014;8089
1815;4568;6383
4583;9052;13635
9211;1971;11182
1588;3914;5502
7015;9728;16743
9243;5827;15070
9888;768;10656
6866;3898;10764
4193;15;4208
2388;5649;8037
1905;8985;10890
8611;7695;16306
4297;168;4465
7258;5776;13034
2820;2707;5527
4050;6504;10554
9389;3782;13171
3711;6584;10295
9996;1167;11163
2654;2797;5451
7587;451;8038
8236;1450;9686
1422;5882;7304
3385;5171;8556
1514;3108;4622
2185;7521;9706
4188;2513;6701
6822;6;6828
5983;6699;12682
6393;2760;9153
8424;1955;10379
8156;9317;17473
2715;7969;10684
7650;6208;13858
8972;7646;16618
6550;9521;16071
1919;1983;3902
3092;3928;7020
6290;5532;11822
487;5515;6002
6286;6432;12718
2804;9236;12040
5559;3932;9491
863;309;1172
7334;6643;13977
6960;6586;13546
7595;1975;9570
8581;4428;13009
5149;2638;7787
9082;7205;16287
3754;8659;12413
1862;7898;9760
2703;2532;5235
4672;3528;8200
4915;7989;12904
5080;5503;10583
9164;5858;15022
8233;6069;14302
3012;3537;6549
6880;3889;10769
8642;8847;17489
6125;4162;10287
8232;253;8485
8013;7607;15620
2718;1832;4550
1051;9371;10422
3636;9629;13265
7056;6795;13851
1632;726;2358
7994;6395;14389
731;6831;7562
5127;7916;13043
4997;5760;10757
5481;8084;13565
3710;3866;7576
5460;3038;8498
5595;1527;7122
3535;6169;9704
6277;3412;9689
2080;8781;10861
9753;5035;14788
5544;337;5881
911;6231;7142
9558;4175;13733
7375;5288;12663
4306;389;4695
2022;8447;10469
8374;1692;10066
1161;509;1670
3526;5889;9415
4926;5106;10032
6733;3845;10578
5039;3027;8066
2779;713;3492
570;7218;7788
4564;2891;7455
927;5514;6441
8414;7471;15885
8321;1746;10067
6508;343;6851
7483;4296;11779
5644;3186;8830
7988;3225;11213
2400;2910;5310
9554;2677;12231
9199;1540;10739
8907;4638;13545
6941;6527;13468
2929;147;3076
2397;5600;7997
6526;6421;12947
4085;1447;5532
231;351;582
4265;6182;10447
2964;7088;10052
780;7149;7929
4865;5774;10639
7948;5291;13239
5877;1403;7280
6391;8970;15361
3390;5228;8618
3046;3235;6281
5865;541;6406
5404;1534;6938
6153;2642;8795
8047;8108;16155
4046;6052;10098
4362;9948;14310
9570;9379;18949
5654;6074;11728
1709;2228;3937
2674;6687;9361
314;800;1114
3856;3315;7171
8091;3785;11876
9849;5385;15234
9424;3260;12684
94;4346;4440
8983;3669;12652
9663;8232;17895
6475;2968;9443
3626;3384;7010
6992;8303;15295
7385;8372;15757
5470;7701;13171
2932;7736;10668
2528;1235;3763
6186;6354;12540
9520;4718;14238
5942;4283;10225
9047;217;9264
3117;7419;10536
9435;483;9918
4435;523;4958
712;2327;3039
8645;2169;10814
8602;8031;16633
7529;9475;17004
7208;2243;9451
2770;8285;11055
3396;9551;12947
6650;4141;10791
8504;3726;12230
8084;1867;9951
6654;6730;13384
7829;7665;15494
1618;6534;8152
6439;6277;12716
620;122;742
148;8729;8877
5806;5532;11338
8391;5443;13834
1461;8298;9759
1519;9488;11007
7559;8741;16300
4633;8625;13258
8636;9517;18153
1101;85;1186
1070;7497;8567
4500;9748;14248
929;4112;5041
1719;2502;4221
225;2688;2913
143;2573;2716
3376;4019;7395
4746;9852;14598
9561;7185;16746
5594;9522;15116
3914;8052;11966
7022;7416;14438
8318;2101;10419
5043;4522;9565
4786;2426;7212
5107;4529;9636
717;2508;3225
1665;1833;3498
3412;2023;5435
9424;3093;12517
1388;3163;4551
5224;8949;14173
7192;9430;16622
9445;1163;10608
1048;7856;8904
5585;8554;14139
2534;2471;5005
7771;4000;11771
9851;1529;11380
1222;6318;7540
6197;5044;11241
5141;8562;13703
1185;22;1207
276;390;666
7028;4050;11078
1046;5093;6139
2544;4373;6917
5354;7013;12367
9134;8706;17840
3548;4714;8262
4267;5781;10048
2827;8326;11153
5716;7688;13404
4144;9411;13555
6228;654;6882
7455;8098;15553
2091;6665;8756
7390;1489;8879
486;5582;6068
4208;6576;10784
9493;1358;10851
8044;1444;9488
1314;9918;11232
6544;972;7516
467;2788;3255
5830;5870;11700
2511;7377;9888
6903;6460;13363
4646;9725;14371
2813;9307;12120
7732;2890;10622
2759;894;3653
669;1493;2162
3416;3323;6739
2210;7582;9792
3209;3648;6857
7913;7597;15510
9150;8071;17221
6178;9776;15954
5836;8930;14766
2863;8090;10953
4656;9671;14327
9689;7115;16804
2533;633;3166
2146;9073;11219
9780;3684;13464
2413;1855;4268
9688;3827;13515
1404;2681;4085
4469;2425;6894
5077;8132;13209
3056;9333;12389
8631;4512;13143
7785;7643;15428
6185;3492;9677
1684;502;2186
9976;1756;11732
6540;3515;10055
3817;243;4060
3054;2663;5717
5618;947;6565
8087;6531;14618
4838;8943;13781
9040;4533;13573
8416;7257;15673
9806;8744;18550
1673;9112;10785
6245;5760;12005
2755;9586;12341
2410;3927;6337
4019;1949;5968
2983;8090;11073
4525;7189;11714
3162;7671;10833
4085;7154;11239
531;6359;6890
1433;884;2317
1435;7209;8644
8573;8695;17268
2619;5610;8229
7584;2730;10314
6049;9607;15656
2193;3649;5842
5677;5531;11208
6338;9107;15445
134;9546;9680
116;5836;5952
4061;949;5010
46;2879;2925
354;9709;10063
5214;8596;13810
6466;2221;8687
7748;6143;13891
5460;199;5659
6714;2265;8979
1400;3179;4579
6205;8712;14917
8523;2613;11136
4000;9346;13346
7153;6587;13740
4311;1854;6165
8739;9650;18389
6231;9088;15319
6326;7300;13626
2771;284;3055
5763;9268;15031
146;959;1105
147;5622;5769
8533;7537;16070
8160;2097;10257
9134;3642;12776
3811;3879;7690
4644;3429;8073
3573;3488;7061
7168;5157;12325
9894;2279;12173
4423;2330;6753
3986;4405;8391
3256;6489;9745
6846;1843;8689
7311;5075;12386
6871;9717;16588
5714;7;5721
554;2148;2702
3100;8055;11155
1410;5850;7260
9966;133;10099
6066;587;6653
9152;7133;16285
1481;9978;11459
1429;8347;9776
2659;8352;11011
7126;7225;14351
3489;3261;6750
469;5101;5570
2195;5519;7714
6479;2806;9285
9860;6876;16736
9055;4515;13570
1475;1750;3225
4559;9973;14532
385;78;463
6020;6799;12819
7056;357;7413
8667;6562;15229
3856;3242;7098
4381;2537;6918
6334;6172;12506
861;3162;4023
3465;5307;8772
920;2372;3292
3033;8913;11946
1497;6998;8495
2754;9877;12631
2034;8614;10648
7036;7303;14339
6710;2502;9212
9876;6546;16422
9123;4396;13519
3232;2089;5321
8565;6620;15185
2879;5593;8472
3360;4251;7611
2890;5549;8439
3580;1220;4800
3124;5299;8423
211;5567;5778
815;6499;7314
1176;2025;3201
3621;8500;12121
7055;9539;16594
9103;40;9143
9098;1656;10754
8813;5365;14178
3985;5367;9352
6243;2408;8651
5579;8094;13673
5296;6266;11562
6187;4960;11147
7778;6765;14543
8714;2085;10799
4193;1508;5701
9440;8418;17858
4872;5613;10485
2335;9371;11706
1812;2121;3933
4750;10;4760
5271;9489;14760
9612;6326;15938
4824;4560;9384
2373;1927;4300
9640;7528;17168
2885;7905;10790
3305;8898;12203
1138;9952;11090
212;1486;1698
6309;5394;11703
7372;8854;16226
6906;9554;16460
8975;3904;12879
6289;8611;14900
6979;2589;9568
4608;6954;11562
2415;9376;11791
3458;2168;5626
195;3776;3971
984;5036;6020
7914;6325;14239
3735;9764;13499
3907;7791;11698
730;3608;4338
1657;8250;9907
4759;6651;11410
4555;1398;5953
6541;233;6774
6232;5287;11519
1690;6991;8681
1473;7916;9389
6890;7234;14124
6456;3936;10392
538;1412;1950
9191;1862;11053
5044;5459;10503
3559;5385;8944
9768;9091;18859
3391;5020;8411
4794;1693;6487
2861;3334;6195
4805;3549;8354
8986;9229;18215
133;1529;1662
2974;3178;6152
4035;303;4338
6545;9562;16107
1239;7661;8900
9371;3873;13244
1986;4520;6506
3567;8418;11985
1018;2016;3034
4133;5121;9254
7698;1068;8766
2861;6546;9407
9263;3203;12466
9100;385;9485
3592;4454;8046
7402;7611;15013
4502;6387;10889
6390;212;6602
5580;1419;6999
7262;6447;13709
4869;8660;13529
15;8209;8224
9222;6982;16204
1367;2723;4090
5696;6518;12214
3071;7510;10581
2783;6885;9668
2257;5108;7365
2276;971;3247
7936;5714;13650
8600;2122;10722
6681;5531;12212
3929;9862;13791
6789;1112;7901
3129;8063;11192
1487;3023;4510
4404;6933;11337
4092;1658;5750
6728;733;7461
1021;6716;7737
331;8194;8525
8321;5969;14290
2221;9519;11740
8051;8290;16341
8061;8438;16499
7698;3104;10802
653;2609;3262
7922;3128;11050
7499;1094;8593
6405;5289;11694
2337;6866;9203
2176;8443;10619
3062;8952;12014
8217;3575;11792
6081;7482;13563
5722;559;6281
3331;5010;8341
2070;6823;8893
4257;3258;7515
4793;1502;6295
7749;9860;17609
7098;4610;11708
1554;1080;2634
3154;3797;6951
4893;7395;12288
258;6488;6746
6896;9716;16612
4633;69;4702
3506;2597;6103
7330;4288;11618
7343;5778;13121
6433;8006;14439
6413;786;7199
5770;8158;13928
4362;9191;13553
5894;2941;8835
4302;4260;8562
9633;5074;14707
9245;3650;12895
6268;3707;9975
8190;3573;11763
4016;7904;11920
1190;6780;7970
7388;4794;12182
2246;7199;9445
4188;694;4882
3031;2512;5543
5140;3634;8774
7452;8812;16264
8784;4351;13135
9683;1447;11130
3065;3065;6130
2601;5497;8098
2331;599;2930
4417;5052;9469
8084;9903;17987
5920;8369;14289
553;9259;9812
6438;3158;9596
5039;6851;11890
1116;8489;9605
4400;7417;11817
3411;6191;9602
5050;3984;9034
397;8507;8904
7937;1205;9142
8913;3518;12431
9020;1017;10037
5728;5814;11542
6606;3079;9685
2973;4767;7740
799;4177;4976
8732;5611;14343
813;2165;2978
972;1244;2216
8897;1376;10273
339;9216;9555
4740;5005;9745
2499;578;3077
5512;6467;11979
6128;7695;13823
2358;6052;8410
3060;1308;4368
1547;9894;11441
5442;9189;14631
433;6768;7201
9000;9296;18296
6825;7428;14253
2306;4369;6675
9572;9022;18594
2124;9504;11628
5888;3026;8914
2165;6491;8656
3871;3567;7438
2766;5484;8250
7159;6559;13718
4548;9669;14217
6440;4420;10860
7393;3936;11329
2648;2388;5036
7561;8716;16277
3442;5143;8585
3519;2571;6090
7904;3634;11538
8215;6642;14857
196;737;933
5334;1931;7265
6923;2562;9485
5268;1851;7119
5806;2243;8049
5574;7412;12986
1269;5961;7230
8170;1506;9676
8563;7607;16170
8405;9595;18000
5965;2997;8962
8853;4909;13762
2952;7366;10318
2648;8745;11393
6635;5759;12394
5695;1630;7325
5499;6580;12079
1796;4129;5925
2710;3386;6096
3623;3164;6787
1259;2318;3577
5268;7956;13224
5807;4383;10190
4405;667;5072
3512;707;4219
4494;175;4669
1156;3619;4775
7611;6031;13642
5792;6535;12327
6538;2418;8956
5565;228;5793
1733;7040;8773
4299;2194;6493
8807;4043;12850
8691;2336;11027
8243;823;9066
6222;2314;8536
7461;5604;13065
5897;4712;10609
1085;2021;3106
3748;8830;12578
2820;8208;11028
4702;9612;14314
1644;3355;4999
5579;5196;10775
7762;936;8698
3079;3054;6133
6963;8842;15805
8472;295;8767
4980;2397;7377
1167;4247;5414
1725;3310;5035
8303;6287;14590
4038;9862;13900
5025;666;5691
9705;4881;14586
5093;3939;9032
4699;8565;13264
6996;3188;10184
3373;4034;7407
4534;4089;8623
4164;5019;9183
979;8081;9060
6198;8638;14836
7106;8651;15757
100;5509;5609
6214;431;6645
2324;8504;10828
8436;2543;10979
9861;9416;19277
9934;820;10754
2745;619;3364
3415;7354;10769
7423;2140;9563
9509;7424;16933
9921;4580;14501
4974;7815;12789
1125;5552;6677
8930;6176;15106
2542;1649;4191
7932;4261;12193
58;1272;1330
8337;1865;10202
313;6253;6566
9634;9670;19304
6146;2115;8261
9105;4479;13584
4435;3352;7787
9589;6246;15835
6778;1576;8354
4370;638;5008
1654;8162;9816
584;5301;5885
3517;7642;11159
6850;9447;16297
3005;6089;9094
7918;2526;10444
5798;6426;12224
2572;1647;4219
1065;5410;6475
74;6320;6394
8117;6702;14819
727;6660;7387
922;195;1117
304;336;640
9152;2602;11754
7533;577;8110
7579;9955;17534
7157;1817;8974
1661;9305;10966
363;5497;5860
4310;4705;9015
9007;3219;12226
3108;8608;11716
2561;9365;11926
8169;9498;17667
224;8733;8957
7513;4541;12054
3860;9419;13279
5455;8387;13842
1060;9539;10599
7764;1990;9754
6062;8121;14183
7180;6417;13597
1292;3184;4476
3029;193;3222
9203;5889;15092
2538;4459;6997
3516;1972;5488
6762;5162;11924
5965;1837;7802
8973;1631;10604
9302;6871;16173
2895;3527;6422
6612;9705;16317
6566;1992;8558
3047;6043;9090
9719;7071;16790
8804;8486;17290
6300;3453;9753
1733;512;2245
6858;3026;9884
749;1456;2205
7178;1587;8765
3676;8472;12148
507;5300;5807
9829;3194;13023
1760;696;2456
1372;7179;8551
718;9516;10234
5075;9242;14317
7052;6577;13629
5177;8704;13881
3149;8830;11979
3727;9220;12947
160;3005;3165
6636;7846;14482
9402;1052;10454
457;3011;3468
6182;5693;11875
2968;9823;12791
3952;1;3953
7285;1193;8478
7707;2792;10499
6419;1908;8327
5659;8883;14542
9314;7027;16341
2386;6511;8897
4406;4905;9311
1145;367;1512
1065;2682;3747
7480;4426;11906
6057;6863;12920
321;4675;4996
1088;6229;7317
6264;5178;11442
938;5683;6621
9417;4296;13713
8047;1128;9175
1580;9178;10758
6800;7274;14074
333;4647;4980
9083;8151;17234
8863;8542;17405
6205;5357;11562
9918;5794;15712
1268;6056;7324
7096;6470;13566
9533;3806;13339
5136;660;5796
5225;990;6215
8810;2574;11384
3450;5240;8690
8634;882;9516
3042;1543;4585
6922;8926;15848
1598;4499;6097
8624;1811;10435
4842;5295;10137
1727;6883;8610
2805;938;3743
79;1865;1944
7152;1247;8399
7141;3883;11024
1700;120;1820
2263;8566;10829
3888;8483;12371
7953;9588;17541
9908;6446;16354
4729;7480;12209
4551;632;5183
858;3118;3976
4219;5351;9570
6582;346;6928
1555;2856;4411
5280;3780;9060
6345;2625;8970
819;6581;7400
1760;9459;11219
5873;854;6727
87;2750;2837
3033;2617;5650
3763;6492;10255
7812;4043;11855
1715;946;2661
6003;511;6514
9475;272;9747
1835;1623;3458
9025;2085;11110
1111;31;1142
8135;261;8396
5702;7116;12818
3689;3285;6974
4465;6317;10782
5062;3362;8424
2017;4003;6020
7690;8103;15793
9489;6767;16256
2916;434;3350
1071;7692;8763
8740;1441;10181
6618;3568;10186
6661;1952;8613
8148;6753;14901
3476;9131;12607
7870;4956;12826
2686;7921;10607
5567;3166;8733
9839;4635;14474
7638;6926;14564
2309;2056;4365
4785;9742;14527
2938;257;3195
4576;7758;12334
7604;4006;11610
7806;1622;9428
569;2283;2852
8481;3749;12230
5441;9948;15389
7483;7137;14620
4067;5292;9359
7102;9132;16234
3853;9300;13153
4692;1818;6510
1650;1863;3513
5591;9359;14950
6257;216;6473
4799;5641;10440
1664;4976;6640
9259;8616;17875
1893;6942;8835
7390;3369;10759
768;7238;8006
9023;4675;13698
250;8962;9212
9450;8481;17931
2360;9952;12312
2430;7941;10371
3373;4804;8177
1905;3035;4940
5481;4058;9539
9358;1572;10930
7781;9749;17530
222;5229;5451
4234;9328;13562
5490;1591;7081
1051;5908;6959
8949;9049;17998
6012;2116;8128
3967;1946;5913
9556;4152;13708
8695;1784;10479
7723;3659;11382
8699;9223;17922
3623;3332;6955
2545;6526;9071
5761;2721;8482
1297;6479;7776
6620;3300;9920
2299;8951;11250
6690;9580;16270
7621;2304;9925
1974;4115;6089
3921;9185;13106
4386;3463;7849
662;3818;4480
2089;4955;7044
495;2074;2569
2205;4296;6501
6312;2405;8717
18;1718;1736
4240;3569;7809
7807;4794;12601
3334;7945;11279
8507;7739;16246
3594;5693;9287
6514;2466;8980
1197;1162;2359
4952;1221;6173
6433;792;7225
8058;7195;15253
8970;8133;17103
5715;7198;12913
9058;414;9472
3758;8187;11945
1304;3702;5006
2861;9993;12854
1997;173;2170
570;1636;2206
5006;4934;9940
6358;7147;13505
6726;5753;12479
6622;3277;9899
8277;3037;11314
6074;6153;12227
2154;7705;9859
4250;4461;8711
6037;2919;8956
8128;1976;10104
1263;7654;8917
5966;4912;10878
7941;2464;10405
3671;1274;4945
7987;8953;16940
1811;2194;4005
7519;8301;15820
6494;8195;14689
8798;6784;15582
2024;1922;3946
4002;3505;7507
8392;5003;13395
2761;2244;5005
3875;7099;10974
9667;6272;15939
7862;9475;17337
7258;5768;13026
9215;2514;11729
4718;1435;6153
3844;9420;13264
9696;4292;13988
6848;2854;9702
3104;3895;6999
3625;6614;10239
5803;2491;8294
4048;4159;8207
1337;2383;3720
642;9293;9935
3966;370;4336
2694;9068;11762
3210;7711;10921
9322;6331;15653
9701;8859;18560
7801;2564;10365
258;6063;6321
7606;8771;16377
7766;7501;15267
2661;1360;4021
441;7145;7586
1867;6059;7926
8571;1075;9646
8457;607;9064
5725;6804;12529
7482;7419;14901
7708;8393;16101
4957;3419;8376
9790;9772;19562
6229;7937;14166
5582;5442;11024
3775;9641;13416
278;7046;7324
8985;9132;18117
8830;7135;15965
8728;1815;10543
5601;554;6155
2591;9374;11965
2306;8934;11240
7157;3772;10929
2864;405;3269
5950;7435;13385
3461;1848;5309
1614;1733;3347
6087;6086;12173
6026;3223;9249
4864;6905;11769
9551;6338;15889
9445;868;10313
6414;2018;8432
8370;232;8602
2699;8346;11045
1525;9926;11451
7158;5312;12470
1954;5009;6963
2520;7706;10226
8333;4219;12552
2221;3118;5339
9218;8678;17896
771;9905;10676
9775;3360;13135
4748;8131;12879
9964;5292;15256
7728;4096;11824
2821;9248;12069
1473;7009;8482
2894;4142;7036
7341;7577;14918
8356;9877;18233
1474;4307;5781
8685;1776;10461
2880;8144;11024
3074;564;3638
4889;2841;7730
8527;6413;14940
9867;1931;11798
4784;9490;14274
2717;4268;6985
5125;1559;6684
1219;1538;2757
452;693;1145
4135;586;4721
6025;2535;8560
1803;3326;5129
8731;1586;10317
619;2111;2730
1197;3416;4613
1628;3433;5061
8856;7468;16324
7591;4358;11949
5780;9114;14894
5341;4164;9505
5368;2029;7397
8874;945;9819
2190;4597;6787
5594;1896;7490
9028;2665;11693
4688;2594;7282
2766;5116;7882
1716;3872;5588
5786;4281;10067
1950;358;2308
2898;4559;7457
8280;2419;10699
7334;9690;17024
8958;4215;13173
1815;5492;7307
9527;773;10300
6813;5039;11852
4969;8752;13721
675;4788;5463
882;6599;7481
9309;7304;16613
2429;9380;11809
7524;2625;10149
9253;9222;18475
1827;993;2820
1648;895;2543
1696;957;2653
3673;1023;4696
4898;5425;10323
8686;3121;11807
9207;6047;15254
5851;4298;10149
8774;9726;18500
536;6721;7257
3120;4838;7958
1066;1188;2254
3567;2107;5674
4190;211;4401
3176;8357;11533
8974;9769;18743
9586;5892;15478
5038;5306;10344
2600;2315;4915
2881;3192;6073
8519;872;9391
4873;3721;8594
3434;2914;6348
6555;4872;11427
9925;1989;11914
6701;7642;14343
8936;9028;17964
1356;374;1730
6863;743;7606
2704;5382;8086
4758;1306;6064
8821;2558;11379
8635;3693;12328
3951;2875;6826
4149;4085;8234
9975;3432;13407
1871;4618;6489
9717;2308;12025
4121;6058;10179
8400;5980;14380
9115;3771;12886
5440;6076;11516
4956;6933;11889
2936;1187;4123
9438;9782;19220
7820;9712;17532
9987;3957;13944
6658;2272;8930
9497;3781;13278
7927;7627;15554
1124;507;1631
6044;1312;7356
2736;1419;4155
6526;3327;9853
1710;7746;9456
5316;2705;8021
3273;2750;6023
1357;4139;5496
4435;93;4528
1757;168;1925
4543;1417;5960
1392;1740;3132
4615;6622;11237
8185;5868;14053
5650;1836;7486
2961;2770;5731
2024;7647;9671
2499;6341;8840
375;465;840
2664;6322;8986
8218;1678;9896
3468;7439;10907
166;1855;2021
9656;8305;17961
6051;7031;13082
2839;3937;6776
1649;4571;6220
607;1390;1997
464;4564;5028
4592;8778;13370
9213;7719;16932
66;1057;1123
1460;9189;10649
8516;7711;16227
9526;9298;18824
8348;1501;9849
5404;9130;14534
2469;4054;6523
2268;3371;5639
9668;4090;13758
2751;6289;9040
12;7285;7297
3995;1434;5429
5635;3726;9361
1555;2512;4067
2701;6229;8930
3436;3658;7094
9691;2077;11768
1459;6204;7663
6628;7048;13676
5100;2616;7716
2676;4625;7301
8184;8170;16354
2140;6754;8894
2573;7535;10108
768;7246;8014
9478;4381;13859
9720;7948;17668
131;9297;9428
5585;2385;7970
314;4876;5190
5351;9582;14933
1256;5977;7233
8967;7681;16648
4047;3958;8005
4744;6477;11221
702;7811;8513
3286;842;4128
5807;7375;13182
5965;8490;14455
1694;6707;8401
3944;34;3978
4176;5374;9550
4373;3826;8199
2429;9343;11772
5530;695;6225
898;5414;6312
8330;5156;13486
855;9613;10468
9351;5510;14861
2031;3755;5786
3307;5460;8767
2403;583;2986
2569;4305;6874
7536;4378;11914
5218;4994;10212
6346;7496;13842
8142;6797;14939
6567;1849;8416
4315;4287;8602
1033;6305;7338
3689;6839;10528
2586;6366;8952
8283;3478;11761
290;9783;10073
5103;5537;10640
786;4876;5662
3052;3035;6087
1359;2407;3766
5690;4314;10004
2923;4867;7790
3435;3861;7296
4991;2235;7226
635;3496;4131
2113;699;2812
4800;9597;14397
2465;3439;5904
836;9926;10762
6380;564;6944
7010;6516;13526
9677;8546;18223
7614;6888;14502
1505;6323;7828
9611;1447;11058
4813;7793;12606
2069;1887;3956
4933;4183;9116
4328;7882;12210
7615;8836;16451
6889;8005;14894
574;9926;10500
208;5102;5310
8554;9847;18401
8689;6883;15572
1526;2071;3597
6390;1663;8053
7756;6141;13897
8234;1218;9452
9573;5796;15369
742;5862;6604
6058;1044;7102
9440;4344;13784
1012;3311;4323
6635;7991;14626
6352;9418;15770
1428;547;1975
2315;2690;5005
6835;8549;15384
6135;3120;9255
8745;3929;12674
1607;8144;9751
4407;1948;6355
210;681;891
3298;8755;12053
627;3564;4191
7911;9735;17646
6716;9851;16567
9689;49;9738
6211;9944;16155
449;8427;8876
3015;3726;6741
7181;3565;10746
622;5383;6005
9879;5658;15537
4175;619;4794
1145;3793;4938
9911;9321;19232
1105;5323;6428
363;8503;8866
1212;7660;8872
8179;8603;16782
2341;3701;6042
4306;2302;6608
2338;751;3089
1601;1887;3488
9065;1116;10181
8164;1029;9193
4900;9635;14535
5773;1484;7257
3903;1544;5447
3660;3559;7219
6970;8575;15545
1668;6770;8438
7217;3053;10270
9294;3010;12304
1127;2558;3685
9494;5854;15348
8921;9901;18822
3581;2569;6150
2102;5397;7499
3428;1574;5002
2086;2198;4284
1295;5274;6569
5653;4180;9833
9066;8569;17635
2772;2596;5368
6670;4297;10967
3618;8398;12016
7865;4976;12841
9193;3202;12395
7207;9498;16705
9046;6660;15706
89;567;656
8968;5837;14805
7652;6098;13750
2577;2825;5402
3194;5069;8263
1271;7348;8619
1911;6555;8466
1580;5316;6896
3650;5209;8859
8119;4409;12528
5183;4211;9394
5161;3510;8671
8822;366;9188
8240;155;8395
893;1679;2572
6481;8556;15037
848;1707;2555
1551;1698;3249
1433;3317;4750
352;8262;8614
1361;4984;6345
9525;643;10168
334;4492;4826
6079;6866;12945
575;3567;4142
6195;6027;12222
1066;4166;5232
446;2950;3396
6536;1533;8069
3860;8427;12287
3454;5949;9403
2455;1111;3566
1632;868;2500
592;1526;2118
8312;1608;9920
576;6753;7329
